원두타입,원두명,노트,원산지,품종,생산자,고도,지역,가공,맛&향,산미,바디감,단맛,로스팅,쓴맛
싱글오리진,마이크로랏 과테말라 엘 소코로 옐로우 카투라 워시드,"오렌지, 사과, 플럼, 카라멜",과테말라,Yellow Caturra,Juan Diego De La Cerda,"1,540m~1,860m",El socorro,"Fully Washed,워시드","달콤,산미,카라멜,묵직,베리,시트러스",4.0,3.0,4.0,4.0,2.0
싱글오리진,에티오피아 시다모 G2 워시드,"꽃향기, 핵과류, 밀크 초콜릿, 캐러멜",에티오피아,Heirloom(재래종),떼루아(지역생산),"1,600m ~ 2,000m",Sidamo,"Fully Washed,워시드","산미,밸런스,카라멜,꽃,초콜릿,시트러스",4.0,3.0,3.0,4.0,2.0
싱글오리진,에티오피아 예가체프 G1 아리차 에이미 내추럴,"살구, 복숭아, 밀키, 레몬그라스, 캔디, 시럽, 블랙티, 긴 후미",에티오피아,Kurume,,"1,900m ~ 2,250m",Aricha,"Natural,내추럴","달콤,산미,부드러움,허브,긴여운,차같은,주스같은,트로피칼",4.0,3.0,2.0,3.0,1.0
싱글오리진,브라질 NY 2 FC 디카페인 마운틴워터,"호박, 구운땅콩, 카라멜, 밀크초콜릿",브라질,Mundo Novo 외,,"500m~1,500m",,"Mountain Water Process,기타","고소,부드러움,카라멜,묵직,초콜릿",3.0,4.0,3.0,3.0,2.0
싱글오리진,커맨드 싱글 오리진 (에디오피아 레피사),"레몬, 복숭아, 꽃 차, 밀크 초콜릿","Ethiopia,에티오피아",Heirloom,(농장) Dabaye,"1,900-2,250m",Oromia Guji Hambella,Washed,"달콤,산미,깔끔,꽃,초콜릿,허브,차같은,시트러스",4.0,2.0,3.0,2.0,1.0
싱글오리진,커맨드 싱글 오리진 (인디아 아라쿠 13),"허니, 브라운 슈가, 스파이스","India,인도",Arabica-Selection 9,(농장) Gondhirapa,"959-1,237m",Araku,"Washed,워시드","달콤,초콜릿,향신료",2.0,2.0,2.0,3.0,1.0
싱글오리진,채스우드커피 브라질 모지아나 원두 200g,견과류의 고소함과 초콜릿의 달콤함을 경험해보세요.,브라질,,,,,,"달콤,고소,견과류",1.0,5.0,3.0,3.0,1.0
싱글오리진,과테말라 안티구아 SHB,"견과류의 고소함, 은은한 감귤류의 옅은 산미, 달콤쌉싸름한 캬라멜, 클린컵, 미디움 바디, 긴 여운
감칠맛나는 후미 뒤에 긴 여운의 향미는 많은 한국 사람들이 과테말라를 사랑하게 만들어 주었습니다.
수세식 가공으로 처리한 생두로 산뜻하고 상쾌한 후미를 가지고 있습니다.
배전도는 중-강배전입니다. 핸드드립이나 에어로프레스, 프렌치프레스 등을 권장합니다.
로스팅의 맛을 살려서 로스팅하여 미디움시티 정도의 볶음도를 가지고 있습니다.",과테말라,,,,,,"고소,산미,카라멜,견과류,긴여운,풍부한,시트러스",2.0,4.0,3.0,4.0,2.0
싱글오리진,에티오피아 샤키소 G1(Natural Method),"라임, 청포도, 꽃내음, 꿀, 살구, 섬세하며 긴 여운
건조식 가공으로 처리한 생두이므로 발효된 향에서 오는 멜티함이 있지만, 풍부한 향이 살아 있습니다.
배전도는 약배전입니다. 핸드드립이나 모카마스터, 커피메이커 등을 권장합니다.",에티오피아,샤키소 G1,,,시다모,,"달콤,부드러움,긴여운,시트러스,트로피칼",3.0,4.0,3.0,2.0,1.0
싱글오리진,케냐 AA,"사과산의 옅은 후미, 감초향, 고소함, 풀내음, 견과류내음, 블랙베리
많은 커피애호가들의 의해 좋은 평가를 받고 있으며, 다양한 추출도구로 즐기세요.
수세식 가공으로 처리한 생두로 산뜻하고 상쾌한 후미를 가지고 있습니다.
배전도는 중-강배전입니다. 핸드드립이나 에어로프레스, 사이폰 등을 권장합니다.
로스팅의 맛을 살려서 로스팅하여 미디움시티 정도의 볶음도를 가지고 있습니다.",케냐,,,,,,"고소,상큼,산미,견과류,풍부한,트로피칼",3.0,3.0,3.0,4.0,2.0
싱글오리진,에티오피아 예가체프 G2,"산뜻한 후루티향, 밝은 후미, 경쾌함, 허브, 달콤한 애프터 테이스트, 상쾌한 마우스필
나른한 오후의 화사한 느낌표같은 시간을 가지고 싶으신가요?
수세식 가공으로 처리한 생두로 산뜻하고 상쾌한 후미를 가진 이르가체페를 권해드려요.
배전도는 약배전입니다. 핸드드립이나 모카마스터, 커피메이커 등을 권장합니다.
향미를 살리면서 로스팅하여 시티 정도의 볶음도를 가지고 있습니다.",에티오피아,,,,,,"달콤,부드러움,차같은,화사한,주스같은,크리미한,트로피칼",3.0,2.0,2.0,2.0,1.0
싱글오리진,에티오피아 하루 수케 워시드,"복숭아와 얼그레이 홍차의 향미, 갈색설탕의 달콤함, 깨끗하고 달콤한 꽃 향기의 여운",에티오피아,에티오피아 토착종,,2000m,예가체프,워시드,"달콤,꽃,허브,차같은,트로피칼",4.0,2.0,4.0,1.0,1.0
싱글오리진,콜롬비아 라 세르바 카투라 치로소 무산소 허니,"로즈마리와 바질의 허브 향, 청사과와 청포도의 산미, 케인 슈가의 달콤함과 블러드 오렌지의 상큼함",콜롬비아,카투라 치로소,라 레세르바,,안티오키아,"무산소 허니,허니,무산소발효","달콤,상큼,산미,꽃,허브,화사한,시트러스,트로피칼",5.0,3.0,4.0,1.0,1.0
싱글오리진,스페셜티 에티오피아 예가체프 G1 겔레나 아바야 게이샤 내추럴,"블랙체리, 브라운슈가, 복숭아, 구아바, 주스같은, 부드러운 애프터",에티오피아,"Kurume, Wolish, Daga",,"1,850m~2,150m",Gelena Abaya,"Natural,내추럴","달콤,산미,부드러움,베리,풍부한,가벼운,주스같은,트로피칼",4.0,4.0,3.0,3.0,2.0
싱글오리진,코스타리카 수마바 레포사도 화이트 허니,"청포도, 마카다미아, 발란스",코스타리카,카투라,,"1,700m",,화이트허니,"달콤,산미,밸런스,깔끔,견과류,트로피칼",3.0,3.0,4.0,2.0,1.0
싱글오리진,Bolivia Kuillo Java Coco Natural,Blueberry / Cherry / Rum / Chocolate / Winy,"Bolivia,기타",Java,Kuillo,,,"Coco Natural,내추럴","산미,묵직,베리,초콜릿",3.0,4.0,4.0,4.0,1.0
싱글오리진,파나마 로마데로스 세드로스 레드카투아이 내추럴,#독특한 과일향 #베리류 #바나나 #바닐라,파나마,Red Catuai,,"1,500m",Loma De Los Cedros,"Natural,내추럴","달콤,산미,바닐라,트로피칼",4.0,3.0,4.0,3.0,1.0
싱글오리진,"DEEP, DEEPLY 콜롬비아 엘 구아야보 워시드 (에스프레소용)","오렌지, 살구, 청사과, 헤이즐넛, 카라멜, 밀크초콜렛",콜롬비아,,,,,워시드,"달콤,고소,깔끔,부드러움,묵직,초콜릿,스모키,크리미한",2.0,4.0,4.0,4.0,2.0
싱글오리진,에티오피아 예가체프 저보트G1 무산소발효,"Bright winey acidity, silky body,
Floral, Honey, Black tea, Jasmine, Milk chocolate, Black cherry",에티오피아,Heirloom Varieties,,"1,850 ~ 2,100 M",Yirgacheffe,무산소발효,"달콤,베리,꽃,초콜릿,허브,차같은,가벼운",4.0,3.0,3.0,3.0,1.0
싱글오리진,브라질 아라가오 카페 델라스 내추럴,"아몬드, 카라멜, 다크초콜렛",브라질,Catuai,,950m,Aragao,내추럴,"달콤,고소,카라멜,초콜릿,견과류",1.0,3.0,4.0,4.0,1.0
싱글오리진,Ethiopia Yirgacheffe Chelbesa Washed,Peach / Lavender / Melon / Juicy / Clean,"Ethiopia,에티오피아",,Chelbesa,,Yirgacheffe,"Washed,워시드","깔끔,허브,주스같은,트로피칼",4.0,3.0,3.0,1.0,1.0
싱글오리진,에티오피아 모모라 내추럴 구지 G1,"- 컵노트: 꿀, 살구, 체리, 딸기, 브렌디, 복숭아, 재스민, 감귤류",에티오피아,Heirloom,Momora,,Shakiso,내추럴,"달콤,상큼,산미,베리,견과류,허브,시트러스,트로피칼",4.0,3.0,4.0,2.0,1.0
싱글오리진,코스타리카 따라주 SHB,"- 컵노트: 오렌지, 바닐라, 아몬드 메이플시럽",코스타리카,"카투라, 카투아이",,"1,200~2,000m",따라주,워시드,"달콤,산미,깔끔,바닐라,견과류,시트러스",3.0,3.0,4.0,3.0,1.0
싱글오리진,인도네시아 와하나 만델링 G1,"- 컵노트: 블랙슈거, 다크초콜릿, 캐슈넛, 오렌지, 스모크, 굿바디",인도네시아,"티피카, 카티모르",,"1,400~1,500m",Ache Tengah,워시드,"달콤,산미,깔끔,카라멜,초콜릿,견과류,스모키,향신료,시트러스",1.0,5.0,5.0,4.0,1.0
싱글오리진,콜롬비아 엘 로블레 게이샤 워시드,"- 컵노트: 자스민, 플로럴, 레몬그라스, 슈가케인, 블랙티, 감귤",콜롬비아,Geisha,El Roble,,Norte de Santander,워시드,"달콤,산미,꽃,허브,차같은,시트러스",4.0,3.0,4.0,2.0,1.0
싱글오리진,과테말라 산 로렌조,"- 컵노트: 로스트 아몬드, 엿기름, 브라운슈거, 초콜릿",과테말라,Red Caturra,San Lorenzo,,Baja Verapaz,워시드,"고소,부드러움,초콜릿,견과류,크리미한",1.0,3.0,4.0,4.0,1.0
싱글오리진,콜롬비아 후일라 수프리모,"- 컵노트: Amond, Caramel, Chocolate",콜롬비아,Typica,,,,워시드,"고소,카라멜,견과류",1.0,3.0,3.0,4.0,1.0
싱글오리진,과테말라 안티구아 파스토랄 SHB,#달달한바닐라향 #묵직한바디감 #산미없는원두를찾으셨다면,과테말라,,,,,,"달콤,고소,묵직,바닐라,긴여운",1.0,5.0,2.0,4.0,2.0
싱글오리진,에티오피아 콩가 내추럴 G1 스페셜티,#믹스베리 #요거트캔디 #흑설탕 #기분좋고부드러운산미,에티오피아,내추럴,,,,내추럴,"달콤,산미,밸런스,베리,꽃,허브",3.0,3.0,4.0,3.0,1.0
싱글오리진,에티오피아 예가체프 G2 AQ1,#아카시아플로랄 #실키한바디감 #균형잡힌산미 #구운고구마향 #진한다크초콜릿 #야생꿀,에티오피아,,,,,,"달콤,산미,묵직,꽃,초콜릿,가벼운,주스같은",3.0,3.0,4.0,4.0,1.0
싱글오리진,페루 이네스 파타 게이샤 워시드,"자스민, 캐모마일, 딸기, 요거트, 꿀, 실키

새콤달콤함이 특징인 깔끔한 게이샤 커피입니다.",페루,게이샤,,2410m,쿠스코 잉카와시 파카이밤바,워시드,"산미,깔끔,꽃,풍부한,화사한,시트러스",4.0,3.0,4.0,1.0,1.0
싱글오리진,카메룬 블루마운틴 세미 워시드,"컵노트 : 견과 향미, 베리·홍시 산미·단맛",기타(카메룬),블루마운틴(티피카),,"2,100m",엘카,워시드,"달콤,산미,베리,견과류,트로피칼",1.0,3.0,3.0,2.0,1.0
싱글오리진,마이크로랏 과테말라 엘 소코로 레드 카투라 워시드,"Grapefruit, Roasted Almond, Chocolate, Brown Sugar",과테말라,Ethiopia Heirlooms,,"1,770m~2,200m",Sidamo,워시드,"달콤,산미,초콜릿,견과류,허브,긴여운",3.0,4.0,4.0,3.0,1.0
싱글오리진,마이크로랏 에티오피아 벤치 마지 게이샤 G1 내추럴,"포도, 건자두, 요거트, 체리, 헤이즐넛, 쥬시, 주스같은
산미와 짙은 질감의 조화, 좋은 단향의 애프터",에티오피아,"Geisha(74140, N59)",,"1,000m~1,100m",Crown Gesha,"내추럴,무산소발효","달콤,산미,견과류,긴여운,화사한,주스같은,크리미한",4.0,3.0,4.0,3.0,1.0
싱글오리진,마이크로랏 에티오피아 시다모 아르베고나 야웨 에이미 PG1 내추럴,"딸기, 복숭아, 패션프루트, 오렌지, 포도, 자스민, 얼그레이
시럽같은, 부드럽고 화려한 질감
쥬시하고 선명한 애프터",에티오피아,"74110,74158",,"1,995m~2,230m",Sidamo Arbegona,내추럴,"달콤,산미,부드러움,허브,화사한,주스같은,시트러스,트로피칼",4.0,3.0,4.0,3.0,1.0
싱글오리진,케냐 키리냐가 카공고 AB TOP 워시드,"허브, 익힌과일, 카카오닙스, 블랙슈가
조린 과일의 풍성한 바디감, 단향의 애프터",케냐,"74110,74158",,"1,995m~2,230m",Sidamo Arbegona,워시드,"달콤,허브,긴여운,풍부한,시트러스,트로피칼",3.0,4.0,4.0,3.0,1.0
싱글오리진,에티오피아 예가체프 G2 워시드,"프루티, 달콤, 흑설탕",에티오피아,,,,,워시드,"달콤,고소,초콜릿",2.0,4.0,3.0,3.0,1.0
싱글오리진,코스타리카 따라주 라 파스토라 SHB 워시드,"월넛, 흑설탕, 밀크초콜릿",코스타리카,,,,,워시드,"달콤,고소,초콜릿,견과류",2.0,4.0,4.0,3.0,1.0
싱글오리진,콜롬비아 메델린 수프리모 워시드,"아몬드, 월넛, 초콜렛",콜롬비아,,,,,워시드,"고소,초콜릿,견과류",2.0,4.0,4.0,3.0,1.0
싱글오리진,파나마 산타 테레사 게이샤 네츄럴,#중약배전(미디엄라이트 로스팅) #핸드드립추천 #자스민 #망고 #베레가못 #사탕,파나마,,,,,내추럴,"달콤,상큼,산미,꽃,허브,화사한,트로피칼",2.0,2.0,5.0,2.0,1.0
싱글오리진,콜롬비아 게이샤,"Floral, Peach, Bergamot, Honey",콜롬비아,,,,,워시드,"달콤,상큼,산미,꽃,허브,화사한,트로피칼",3.0,2.0,5.0,2.0,1.0
싱글오리진,에티오피아 시다모 문타샤 네츄럴,"Peach, Blueberry, Plum, Honey",에티오피아,,,,,내추럴,"달콤,상큼,산미,베리,트로피칼",2.0,3.0,4.0,2.0,1.0
싱글오리진,르완다 부산제,"Nectarine, Honey, Sweet potato",르완다,,,,,워시드,"달콤,고소,부드러움",1.0,3.0,5.0,2.0,1.0
싱글오리진,에티오피아 예가체프 게샤 아바야,"Grape, Orange, Milk Chocolate",에티오피아,,,,,워시드,"달콤,초콜릿,시트러스,트로피칼",2.0,3.0,4.0,3.0,2.0
싱글오리진,코스타리카 베르디 알토 라 몬타나 화이트허니,"Lavender, Apricot jam, Bluebery, Cane Sugar",코스타리카,,,,,허니,"달콤,베리,꽃,허브,화사한",1.0,3.0,4.0,2.0,2.0
싱글오리진,온두라스 비야 마리아 파라이네마 워시드,Bergamot / Apricot / Acacia Honey,에티오피아,Heirloom,Wote Konga,,,워시드,"달콤,산미,꽃,시트러스,트로피칼",3.0,3.0,4.0,2.0,1.0
싱글오리진,콜롬비아 라스 플로레스 워시드,Mangosteen / Lychee / Brown Sugar,콜롬비아,Red Bourbon,Las Flores,,Huila,워시드,"달콤,상큼,산미,화사한,트로피칼",4.0,3.0,4.0,2.0,1.0
싱글오리진,브라질 Brazil,"커핑노트 / 갈색설탕, 캐슈넛, 사탕수수, 캐러멜",브라질,레드 카투아이,,"1,300m",모지아나,내추럴,"달콤,카라멜,초콜릿,견과류",1.0,4.0,3.0,4.0,1.0
싱글오리진,에티오피아 시다모 야웨 에이미 내추럴,"딸기, 패션후르츠, 포도, 오렌지, 자스민, 얼그레이

베리향이 가득하면서도 식을수록 패션후르츠의 쥬시함이 특징인 커피입니다.",에티오피아,,,,,내추럴,"달콤,상큼,산미,풍부한,화사한,주스같은,시트러스",5.0,3.0,4.0,1.0,1.0
싱글오리진,파나마 핀카하트만 치쵸가요 내츄럴,"파인애플 Pineapple, 파파야 Papaya, 망고 Mango, 초콜릿 Chocolate, 실크같은 질감 Silky Mouthfeel

원두 출고일은 매주 화요일, 목요일입니다.
배송은 오후 3시 주문분을 기준으로 익일 출고됩니다.
예) 월요일 오후 3시주문 : 화요일 출고","Panama,파나마",Chicho Gallo,Ratibor Hartmann,"1,500m","Santa Clara, Chiriqui","Natural  ​,내추럴","달콤,산미,부드러움,초콜릿,풍부한,가벼운,주스같은,트로피칼",4.0,4.0,5.0,2.0,1.0
싱글오리진,파나마 산타마리아 게이샤 내츄럴,"살구 Apricot, 자스민 Jasmine, 백차 White Tea, 백도 White Peach, 과즙같은 질감 Juicy Mouthfeel, 섬세한 산미 Delicate Acidity

원두 출고일은 매주 화요일, 목요일입니다.
배송은 오후 3시 주문분을 기준으로 익일 출고됩니다.
예) 월요일 오후 3시주문 : 화요일 출고","Panama,파나마",Geisha,Edwin Santamaria,1560 ~ 1950 m,"Santa Clara, ChiriquiㅁVolcan","Washed,내추럴","달콤,꽃,허브,풍부한,화사한,주스같은,트로피칼",4.0,2.0,4.0,2.0,1.0
싱글오리진,에티오 케넌 아세파 무산소발효 내츄럴,"복숭아 Peach, 오렌지껍질 Orange Peel, 크랜베리잼 Cranberry Jam, 크림같은 질감 Creamy Mouthfeel

원두 출고일은 매주 화요일, 목요일입니다.
배송은 오후 3시 주문분을 기준으로 익일 출고됩니다.
예) 월요일 오후 3시주문 : 화요일 출고","Panama,에티오피아",74158,Kenean Aessfa,"2,100~2,200m",Sidama,"Washed,무산소발효","달콤,산미,베리,크리미한,시트러스,트로피칼",3.0,4.0,4.0,3.0,1.0
싱글오리진,케냐 가차타 AB TOP 워시드,"토마토, 밀크초콜릿, 포도, 허브티",케냐,"SL28, SL34, Ruiru11, Batian",Nyeri County,"1,800m~1,900m",Gachatha,워시드,"베리,초콜릿,허브",4.0,4.0,4.0,3.0,1.0
싱글오리진,콜롬비아 캄포 에르모소 핑크 버번 워시드 퍼먼티드,"Lemongrass, Lime, Mint, Coriander Juicy","Colombia,콜롬비아",Pink Bourbon,,"1,850m~2,000m",Quindi,"Washed fermented,기타","산미,허브,화사한,가벼운,시트러스",4.0,3.0,2.0,2.0,1.0
싱글오리진,코스타리카 소노라 빅토리아,"Red Berries, Grape, Prune, Caramel","Costa Rica,코스타리카",,Victoria,"1,200m","Alajuela, Gracia","Natural,내추럴","달콤,산미,카라멜,베리,트로피칼",4.0,3.0,2.0,3.0,1.0
싱글오리진,케냐 카구유 AB TOP,"Cherry, Grapefruit, Brown Sugar, Milk Chocolate","Kenya,케냐","SL28, SL34, Ruiru11, Batian",,"1,600m",Murang'a County,,"달콤,산미,초콜릿,트로피칼",4.0,3.0,2.0,3.0,1.0
싱글오리진,코스타리카 엘바수 게이샤 내추럴,"Floral, Grape, Tropical Fruit, Blueberry","Costa Rica,코스타리카",Geisha,,"1,550m","Naranjo, West Valley","Natural,내추럴","달콤,산미,베리,꽃,트로피칼",4.0,2.0,4.0,2.0,1.0
싱글오리진,과테말라 라 누에바 몬타나,"컵노트 : 과일 향미, 살구·복숭아 산미·단맛, 우롱차",과테말라,카투아이,안토니오,"1,750~1,800m",라누에바,내추럴,"달콤,산미,베리,차같은,시트러스,트로피칼",4.0,2.0,3.0,1.0,1.0
싱글오리진,에티오피아 시다마 트와콕 워시드,"컵노트 : 자스민 향미, 꿀 단맛, 살구 산미",에티오피아,헤일룸,,"1,650~1,900m",시다마,워시드,"달콤,산미,꽃,화사한,트로피칼",3.0,1.0,3.0,1.0,1.0
싱글오리진,에티오피아 구지 시먼 어베이 세미 무산소 내추럴,"컵노트 : 딸기, 블루베리, 대추, 사과, 복숭아, 꿀, 체리, 살구, 캐슈넛, 베르가못, 히비스커스, 멜론, 곶감, 클린, 긴 후미",에티오피아,74110,시먼어베이,"2,000m 이상",칸테티,무산소발효,"달콤,산미,베리,꽃,견과류,깔끔한,긴여운,시트러스,트로피칼",3.0,2.0,3.0,2.0,1.0
싱글오리진,코스타리카 볼칸아줄 게이샤 이스트 워시드,Apple Mint / Papaya / Milk Chocolate,코스타리카,Geisha,,,West Valley,워시드,"달콤,산미,허브,화사한,트로피칼",4.0,3.0,4.0,2.0,1.0
블렌딩,햇살좋은날 블랜드,"샴페인, 살구, 설탕시럽, 레몬그라스","콜롬비아,에티오피아",,,,,워시드,"달콤,산미,부드러움,카라멜,꽃,가벼운,시트러스",3.0,2.0,3.0,3.0,2.0
블렌딩,리치 블렌드,#고소함 #스모키 #다크초콜릿 #라떼에 어울리는 #풀바디 #블렌딩,,,,,,,"달콤,고소,묵직,초콜릿,스모키,긴여운",1.0,4.0,3.0,4.0,3.0
블렌딩,올데이 블렌드,"#고소함 #복숭아 #다크초콜릿 #풀바디 #블렌딩
FullCity, 중강볶음",,,,,,,"고소,산미,묵직,초콜릿,긴여운,풍부한,시트러스",2.0,3.0,4.0,4.0,2.0
블렌딩,시트러스 블렌드,"#자몽 #사과 #시트러스 #스페셜티 #산미 #향이좋은 #블렌딩
High, 중약볶음",,,,,,,"상큼,산미,베리,시트러스,트로피칼",3.0,3.0,4.0,3.0,2.0
블렌딩,PETRICHOR BLEND,"밀크초콜릿, 캐러멜, 오렌지, 밸런스","브라질, 콜롬비아, 과테말라, 엘살바도르",,,,,,"달콤,상큼,산미,밸런스,초콜릿,트로피칼",2.0,3.0,4.0,4.0,3.0
블렌딩,보통의날 블랜드,"말린푸룬, 다크초콜렛, 카카오, 로스티드아몬드, 몰트, 크리미바디","콜롬비아,과테말라,케냐",,필넛로스터스,,"콜롬비아, 과테말라, 케냐",워시드,밸런스,3.0,3.0,3.0,3.0,4.0
블렌딩,비오는날 Blend,"누룽지,몰트,토스트,월넛,카카오","대한민국,기타",,필넛로스터스,,"콜롬비아, 과테말라, 베트남",워시드,"달콤,고소,밸런스,부드러움,초콜릿,견과류",1.0,5.0,3.0,4.0,4.0
블렌딩,[3-3커피] 미디엄로스트 블렌드 커피원두 200g/1kg/3kg,"향미, 산미, 맛 등이 균형잡힌 고소한 커피","콜롬비아, 브라질, 과테말라",,,,,,"달콤,고소,밸런스",2.0,3.0,3.0,3.0,1.0
블렌딩,100% 스페셜티 블렌드,"향미 : 꽃향기, 포도, 블루베리, 실키한 바디감",에티오피아,,,,Yirgacheffe Gedeo Zone,,"산미,베리,꽃,깔끔한,가벼운",4.0,2.0,3.0,3.0,1.0
블렌딩,,,,,,,,,"달콤,고소,상큼,산미,밸런스,깔끔,부드러움,꽃,초콜릿,바닐라,견과류,시나몬,깔끔한,긴여운,화사한,시트러스",1.0,1.0,1.0,1.0,1.0
